曲名,舞萌ID,舞萌类型,舞萌分类,舞萌谱面,舞萌BPM,舞萌版本,舞萌追加日期,舞萌是否锁定,舞萌别名,中二No.,中二分类,中二创作者,中二谱面,中二BPM,中二版本,中二别名
はいよろこんで,1593,DX,POPS＆アニメ,DX 3 | DX 6 | DX 9+ | DX 11+ | DX 13,147,PRiSM PLUS,2025-03-13,否,はいよろこんで|乐意效劳,1734,POPS & ANIME,こっちのけんと,STD 2 | STD 6 | STD 9 | STD 12+,147,X-VERSE,
月光,1592,DX,niconico＆ボーカロイド,DX 4 | DX 8 | DX 11 | DX 13+,195,PRiSM PLUS,2025-03-13,否,月光,1714,niconico,歌：V.I.P 作詞：廉　作曲：廉 「神椿市協奏中。」,STD 4 | STD 7+ | STD 11 | STD 14,195,VERSE,月光
ゆりかご,1591,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9 | DX 13,120,PRiSM PLUS,2025-03-13,否,ゆりかご,1715,niconico,歌：可不 作詞：MIMI　作曲：MIMI 「神椿市協奏中。」,STD 2 | STD 4 | STD 9 | STD 13,120,VERSE,
きゅびびびびずむ,1590,DX,POPS＆アニメ,DX 5 | DX 8 | DX 12 | DX 13+,185,PRiSM PLUS,2025-03-13,否,きゅびびびびずむ|cubibibibism|立体体体体主义,1767,POPS & ANIME,超てんちゃん,STD 5 | STD 9 | STD 12+ | STD 14+,185,X-VERSE,
きゅびずむ,1589,DX,POPS＆アニメ,DX 3 | DX 7 | DX 10 | DX 12+,185,PRiSM PLUS,2025-03-13,否,きゅびずむ|cubism|立体主义,1766,POPS & ANIME,超てんちゃん,STD 4 | STD 6 | STD 9+ | STD 12+,185,X-VERSE,
Supersonic Generation,1587,DX,オンゲキ＆CHUNITHM,DX 4 | DX 8 | DX 11+ | DX 13+,155,PRiSM PLUS,2025-03-13,否,supersonic generation,240,ORIGINAL,Massive New Krew,STD 4 | STD 7 | STD 11+ | STD 14,155,AIR PLUS,轩辕十四|超音速代
Radiance,1573,DX,オンゲキ＆CHUNITHM,DX 4 | DX 6 | DX 10+ | DX 13+,155,PRiSM,2025-02-07,否,radiance|江江比耶2|江江比耶,966,ゲキマイ,Nhato,STD 3 | STD 6 | STD 10+ | STD 13+,155,CHUNITHM NEW,江江|江江比耶|小江江比耶
Resolution,1571,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7+ | DX 11 | DX 13+,190,PRiSM,2025-02-07,否,resolution,1322,ゲキマイ,曲：ANCHOR／歌：皇城 セツナ(CV：八巻 アンナ),STD 3 | STD 7 | STD 10+ | STD 13+,190,SUN,决心|刹那|老婆
MORNINGLOOM,1569,DX,ゲーム＆バラエティ,DX 4 | DX 8 | DX 11 | DX 13+,102,PRiSM,2025-01-24,否,morningloom|早八,1824,VARIETY,saaa,STD 3 | STD 6 | STD 11 | STD 14+,204,X-VERSE-X,
迷える音色は恋の唄,1564,DX,ゲーム＆バラエティ,DX 3 | DX 6 | DX 10+ | DX 13+,165,PRiSM,2025-01-10,否,迷える音色は恋の唄|恋歌|音色迷人的恋歌,1305,VARIETY,からとPαnchii少年 feat.はるの「Arcaea」,STD 3 | STD 5 | STD 10 | STD 13+,165,SUN,恋歌1|恋歌
On your mark (104期 Ver.),1557,DX,POPS＆アニメ,DX 3 | DX 6 | DX 9 | DX 12+,154,PRiSM,2024-12-12,否,on your mark (104期 ver.)|莲之空,1617,POPS & ANIME,蓮ノ空女学院スクールアイドルクラブ「Link！Like！ラブライブ！」,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 14,154,VERSE,
ウルトラトレーラー,1553,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 11 | DX 13+,155,PRiSM,2024-12-06,否,ウルトラトレーラー|ultra trailer|超预告篇|超预告片|超予告编|炒鱼糕片,1880,niconico,マサラダ,STD 3 | STD 6 | STD 9+ | STD 13+,155,X-VERSE-X,
オーバーライド,1551,DX,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 11 | DX 13,204,PRiSM,2024-12-06,否,オーバーライド|覆写|override|重写|重新改写,1685,niconico,吉田夜世,STD 4 | STD 6 | STD 10 | STD 13+ | STD 14+,204,VERSE,覆盖
てらてら,1546,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 13,190,PRiSM,2024-11-22,否,てらてら|忒啦忒啦|熠熠闪光|天马咲希,1472,niconico,和田たけあき / 初音ミク / Leo/need「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 3 | STD 7 | STD 9 | STD 12+,190,LUMINOUS,
snooze,1545,DX,niconico＆ボーカロイド,DX 4 | DX 6 | DX 10+ | DX 13+,150,PRiSM,2024-11-22,否,snooze,1395,niconico,wotaku feat. SHIKI,STD 2 | STD 7+ | STD 10 | STD 13+,150,SUN PLUS,屎
無間嫉妬劇場『666』,1542,DX,東方Project,DX 3 | DX 7 | DX 10 | DX 13,108,PRiSM,2024-11-08,否,無間嫉妬劇場『666』,1030,東方Project,森羅万象,STD 3 | STD 6 | STD 10 | STD 13+,170,CHUNITHM NEW PLUS,无间嫉妒剧场
シリウスの輝きのように,1539,DX,POPS＆アニメ,DX 4 | DX 7+ | DX 10+ | DX 12 | DX 14,158,PRiSM,2024-11-08,否,シリウスの輝きのように|天狼星,1704,POPS & ANIME,鳳 ここな(CV.石見舞菜香)、静香(CV.長谷川育美)、カトリナ・グリーベル(CV.天城サリー)、新妻八恵(CV.長縄まりあ)、柳場ぱんだ(CV.大空直美)、流石知冴(CV.佐々木李子)「ワールドダイスター 夢のステラリウム」,STD 3 | STD 6 | STD 10 | STD 13 | STD 14+,158,VERSE,
ゆけむり魂温泉 II,1532,DX,東方Project,DX 4 | DX 6 | DX 10 | DX 13+,140,PRiSM,2024-10-11,否,ゆけむり魂温泉 ii|魂温泉,437,東方Project,魂音泉,STD 2 | STD 4 | STD 8+ | STD 12+,140,STAR PLUS,
イガク,1529,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 11 | DX 13+,170,PRiSM,2024-09-27,否,イガク|医学|我有ユユ症|ユ,1707,niconico,原口沙輔 feat.重音テト,STD 3 | STD 6 | STD 10+ | STD 13+,170,VERSE,
人マニア,1528,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10+ | DX 13+,150,PRiSM,2024-09-27,否,人マニア|人狂|人狂热症|人狂热者,1684,niconico,原口沙輔 feat.重音テト,STD 3 | STD 5 | STD 10 | STD 14,150,VERSE,
リアライズ,1521,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10 | DX 13,150,PRiSM,2024-09-12,否,リアライズ|realize,1673,niconico,柊マグネタイト,STD 3 | STD 5 | STD 9+ | STD 12+,150,VERSE,
Chronomia,1520,DX,ゲーム＆バラエティ,DX 6 | DX 8 | DX 12 | DX 14,227,PRiSM,2024-09-12,否,chronomia|天文钟,1628,VARIETY,Lime,STD 4 | STD 8 | STD 12+ | STD 14+,227,VERSE,天文钟
Ultimate taste,1519,DX,東方Project,DX 5 | DX 7+ | DX 11 | DX 13+,200,PRiSM,2024-09-12,否,ultimate taste|芙兰教你认曲风,1823,東方Project,ぱらどっと,STD 4 | STD 7+ | STD 12+ | STD 14+,200,X-VERSE-X,
ずんだパーリナイ,1518,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 10 | DX 13+,150,PRiSM,2024-09-12,否,ずんだパーリナイ|俊达派对之夜|俊达萌派对|俊达萌派对之夜,1591,niconico,なみぐる feat.ずんだもん,STD 3 | STD 6 | STD 8+ | STD 13+,150,LUMINOUS PLUS,俊达萌派对之夜|俊达萌
デビルじゃないもん,1517,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9+ | DX 13,154,PRiSM,2024-09-12,否,デビルじゃないもん|才不是恶魔呢|才不是恶魔,1551,niconico,"DECO*27, ピノキオピー",STD 3 | STD 6 | STD 9+ | STD 12,154,LUMINOUS PLUS,
マツケンサンバⅡ,1516,DX,POPS＆アニメ,DX 3 | DX 6 | DX 9+ | DX 12+,133,PRiSM,2024-09-12,否,マツケンサンバⅱ,1435,POPS & ANIME,松平健 [covered by 光吉猛修],STD 2 | STD 5 | STD 9+ | STD 12+,133,LUMINOUS,
愛包ダンスホール,1515,DX,POPS＆アニメ,DX 3 | DX 6 | DX 9 | DX 13,141,PRiSM,2024-09-12,否,愛包ダンスホール|爱派dancehall|爱包|爱包舞厅,1620,POPS & ANIME,HIMEHINA,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 14,141,VERSE,
唱,1514,DX,POPS＆アニメ,DX 2 | DX 6 | DX 9 | DX 11+ | DX 13,132,PRiSM,2024-09-12,否,唱,1535,POPS & ANIME,Ado,STD 2 | STD 5 | STD 8 | STD 12+ | STD 14,132,LUMINOUS PLUS,
ダーリンダンス,1513,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9+ | DX 11+ | DX 13,153,PRiSM,2024-09-12,否,ダーリンダンス|darling dance|达令跳舞,1028,niconico,かいりきベア,STD 3 | STD 5 | STD 9+ | STD 12+,153,CHUNITHM NEW PLUS,darling dance
勇者,1511,DX,POPS＆アニメ,DX 3 | DX 6 | DX 9+ | DX 11+ | DX 13,104,PRiSM,2024-09-12,否,勇者,1533,POPS & ANIME,YOASOBI「葬送のフリーレン」,STD 3 | STD 6 | STD 8+ | STD 13,104,LUMINOUS PLUS,芙莉莲
Elemental Ethnic,1509,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8 | DX 12+ | DX 14,163,PRiSM,2024-09-12,否,elemental ethnic|狗叫机关枪|机枪肌肉男|机关枪,833,ORIGINAL,Yooh,STD 3 | STD 8 | STD 12+ | STD 14+,163,PARADISE LOST,狗叫机关枪|香草|老公|元素民族
Ai C,1505,DX,オンゲキ＆CHUNITHM,DX 5 | DX 8 | DX 12 | DX 14,191,BUDDiES PLUS,2024-08-30,否,ai c|aic|艾草|挨草|爱丽丝的摇篮,1631,ゲキマイ,Feryquitous,STD 3 | STD 7 | STD 13 | STD 14+,191,VERSE,aic|三小只
Baqeela,1504,DX,オンゲキ＆CHUNITHM,DX 3 | DX 6 | DX 10+ | DX 13+,130,BUDDiES PLUS,2024-08-30,否,baqeela|巴奎拉,995,ゲキマイ,owl＊tree,STD 3 | STD 5 | STD 10 | STD 14,130,CHUNITHM NEW,
最っ高のエンタメだ!!,1503,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7 | DX 11 | DX 13+,276,BUDDiES PLUS,2024-08-30,否,最っ高のエンタメだ!!|最高|最棒的娱乐,1168,ゲキマイ,曲：本田正樹(Dream Monster)／歌：7EVENDAYS⇔HOLIDAYS [井之原 小星(CV：ももの はるな)、柏木 咲姫(CV：石見 舞菜香)],STD 3 | STD 6 | STD 10+ | STD 13,276,CHUNITHM NEW PLUS,
