No.,乐曲类型,曲名,类型,难易度,等级,谱面定数,BPM,版本,追加日期,是否锁定,别名
1182,DX,WiPE OUT MEMORIES,DX,MASTER,14+,14.8,210,UNiVERSE+ (星),2022-07-11,否,wipe out memories|wet out trousers|洗衣机|wipeout|缝合怪|wom|消逝的回忆|fade out memories|10周年|抹去记忆|串烧|wipe|超级缝合怪|十周年|maimai机台|走马灯|消失的记忆|舞立方|外炮|wmc走马灯
1175,DX,チューリングの跡,DX,MASTER,14+,14.8,180,UNiVERSE+ (星),2022-06-24,否,チューリングの跡|屠龙之技|图灵|灭火器|螺号|jazz for your soul|图灵之跡|信用2|迹|白法院吹萨克斯|🎷|credits2|图灵之迹|🎷🥚|图灵轨迹|萨克斯|图灵之寄|dx信用
1142,DX,sølips,DX,MASTER,14+,14.9,199,UNiVERSE+ (星),2022-03-24,否,sølips|100块|solips|100块钱|100元|一百块|索|嗦|🔒|solidworks|s∅lips|唯我论|so|索利普斯|s空集lips
1132,DX,GIGANTØMAKHIA,DX,MASTER,14+,14.7,190,UNiVERSE (宙),2022-03-03,否,gigantømakhia|艾尔登法环|刀客塔拿书|kop3|faded|艾伦沃克|艾伦走路者|艾兰沃克|博士|gigantomakhia|费大|elden ring|alanwalker|老头环|艾鲁迪克|褪色者|博士读书|博士抱书|yoskip|巨人之战
1126,DX,躯樹の墓守,DX,MASTER,14+,14.9,211,UNiVERSE (宙),2022-02-10,否,躯樹の墓守|躯树の墓守|墓守|噔噔|🌳|树|守墓人|小红帽|躯树的墓守|红色羽毛球|洛茜|躯树|躯树墓守|蕾米坠机
1108,DX,Yorugao,DX,MASTER,14+,14.6,182,UNiVERSE (宙),2021-12-10,否,yorugao|犹如高|油乳膏|月光花|牙膏|夜颜|紫黑|有乳膏|牛肉干|有如皋|优乳膏
1096,DX,BLACK SWAN,DX,MASTER,14+,14.6,201,UNiVERSE (宙),2021-10-29,否,black swan|黑蒜|路西法|黑天鹅|黑色丝袜|神乐七奈|甘雨|布莱克死亡|香菇|黑丝袜|周黑鸭
1086,DX,Lia=Fail,DX,MASTER,14+,14.7,186,UNiVERSE (宙),2021-09-16,否,lia=fail|剑3|生煎3|命运之石|圣剑三|liafail|圣剑3|生煎三|l=f|福瑞3|lia=失败|蓝牙连接失败
1075,DX,脳天直撃,DX,MASTER,14+,14.6,145,UNiVERSE (宙),2021-09-16,否,脳天直撃|脑天直击|脑天直寄|头部受到打击|脑天|脑花|脑瘫直击|生鱼片蘸芥末|脑瘫至极
1055,DX,AMABIE,DX,MASTER,14+,14.6,190,Splash+ (煌),2021-06-25,否,amabie|没妈|阿妈别|阿妈比|abie|啊麻痹|阿玛别|啊妈逼
1011,DX,Heavenly Blast,DX,MASTER,14+,14.8,234,Splash+ (煌),2021-03-18,否,heavenly blast|😆|皇冠二|天暴|天堡|雪王|hb|天爆|跟你爆了|皇冠2|fd3|爆|ｏ(≧∇≦)ｏ|蜜雪冰城|球球|黑芝麻汤圆|汤圆
1010,DX,BREaK! BREaK! BREaK!,DX,MASTER,14+,14.6,165,Splash+ (煌),2021-03-18,否,break! break! break!|爆！爆！爆！|break|kop2|崩坏三|大b歌|破坏破坏破坏|绿绿绿|βββ|崩三|绝赞绝赞绝赞|3b|哔啵拜|爆爆爆|绝赞³|落落落|崩坏3|崩崩崩|bbb|break!break!break!|绝赞！绝赞！绝赞！|不不不|苹果苹果派|三个绝赞|仨绝赞|三绝赞|爆！|哔波掰哔波掰|break fast|全大p|全大癖|kop2020决赛曲
1004,DX,Regulus,DX,MASTER,14+,14.7,212,Splash (爽),2021-02-20,否,regulus|大奈子罗兰|真空旗袍|热咕噜|雷古勒斯|大欧派姐姐|白法院鬼叫|狮子座α|大扎修女|大萝莉|八云蓝|白法院|大奶子|女萝莉|如龙4|奶子很大|天界大奶|轩辕十四|巨乳|瑞咕噜|ysk扭大腚|大奈子姐姐
942,DX,封焔の135秒,DX,MASTER,14+,14.8,200,でらっくす+ (華),2020-08-07,否,封焔の135秒|激烈的战斗场面|封焰的135秒|大战老头|封焰的135|封焰135|老头大战少女|135|橘优羽|封烟|封焰的2分15秒|封焰|135秒|美国大选|间奏の135秒|琴柳大战赫拉格|机厅着火|夏天的机厅
913,DX,Valsqotch,DX,MASTER,14+,14.7,125,でらっくす+ (華),2020-02-14,否,valsqotch|征服|do_while|金色奶龙|别急7|kop1|迪拜熊|大金熊|熊大|熊熊|金库玛|银币|金色滴蜡熊|金熊|黄金滴蜡熊|世界华尔兹|金夏阳|黄金熊|黄金迪拉熊|金色迪拉熊|金迪拉熊|金熊惨案|ysk痛失首赢|kop2019决赛曲
889,DX,TEmPTaTiON,DX,MASTER,14+,14.7,160,でらっくす (熊),2019-12-13,否,temptation|小萝莉|百合咲|dy|小天使|塔铺忒深|引诱|mika|轻语|肯德基六翅桶|诱惑|百合咲低语|小萝莉的诱惑|百合咲mika|小萝莉耳语
879,DX,Titania,DX,MASTER,14+,14.6,212,でらっくす (熊),2019-10-24,否,titania|踢他奶|蓝毛萝莉|体坛|江江|江江比✌️|qqn比耶|天卫三|tinan|双色球|缇坦妮娅|踢他娘|✌|泰坦尼亚|江江比耶|✌🏻|✌️|☁🐼✌|蓝毛小萝莉|二氧化钛|踢她娘
839,STD,PANDORA PARADOXXX,STD,MASTER,14+,14.9,150,FiNALE (輝),2019-05-10,否,pandora paradoxxx|潘多拉|最水15|天苍苍野茫茫|天苍苍野茫茫风吹草低见牛羊|kop5决赛二号曲|随个15|潘|今日舞萌|kop5官方严选|100日元|天苍苍，野茫茫，风吹草低见牛羊|新手教程|噔噔|很急|推荐乐曲排行榜|舞状元|原神|水15|潘多拉悖论|xxx|pp|特朗普和黄仁勋拼机|我有玉玉症|天苍苍|潘多拉魔盒|我有抑郁症|15级吃分推荐榜1|最简单15|盘
838,STD,the EmpErroR,STD,MASTER,14+,14.8,240,FiNALE (輝),2019-05-10,否,the emperror|↗️↘️↗️|钢琴冒烟的艺术家|皇帝|两小儿跳棋|农夫山泉|emperror|跳棋|👫|跳一跳|vinta|siesta|东海帝皇|俩跳棋|电子脉冲错误|西瓜皮|nenene|爱神|怡宝和农夫山泉|锅盖头跳棋|电磁脉冲错误|皇|农夫山泉和怡宝|刘禹锡|the emperor|刘禹锡三年理白帝|我的苦爱
837,STD,雷切-RAIKIRI-,STD,MASTER,14+,14.6,165,FiNALE (輝),2019-04-11,否,雷切-raikiri-|噔噔噔噔|两把刀|影刃|纯粹的强大|地雷女切手手|梦想一心|雷切|你们怎么解读出我和他切割的
833,STD,QZKago Requiem,STD,MASTER,14+,14.8,257,FiNALE (輝),2018-12-18,否,qzkago requiem|茄子|巧克力大战香子兰|🍆|嵯峨大战凯尔希|茄子卡狗|猫中毒|哪吒大战敖丙|两只猫打架|茄|凯尔希大战嵯峨|白毛貓耳樣の敗北|猫猫打架|毒牛奶|猫咪打架|猫娘打架|假奶害死猫|安魂曲|羊村守护者11|w4喜羊羊对战彩框喜羊羊|喜洋洋与灰太狼|🍆💳🐶|喜羊羊vs暗黑喜羊羊|毒牛奶害人不浅|垃圾桶安魂曲|茄皇|mr为什么能自选两首|fantastic clear!|qz
832,STD,End Time,STD,MASTER,14+,14.7,180,FiNALE (輝),2019-06-07,否,end time|endtime|et|终时|伊岛|终焉时刻|最后的老时|终章|结束啦|终焉之时|终末之时
794,STD,TiamaT:F minor,STD,MASTER,14+,14.6,215,FiNALE (輝),2018-12-13,否,"tiamat:f minor|白豆|提亚马特|tfboys|黑神话|绝赞交互|猩猩歌|大猩猩|提提，提提提|手感提|猩猩比|提一提|黑神话悟空|m t:f|tiama t:fboys|🦍🦍,🦍🦍🦍|🦍|提亚玛特|tf|健身教练|泡泡玛特|ttf|猩手教程|提|提提，提提提！|猩猩|tf boys"
783,STD,怒槌,STD,MASTER,14+,14.8,200,MiLK+ (雪),2018-12-04,否,怒槌|怒锤|😡👊|该罚|愤怒的锤子|ikazuchi|努吹|梅西哥打交|怒捶|😡🔨|神之一锤
782,STD,SILENT BLUE,STD,MASTER,14+,14.8,210,MiLK+ (雪),2018-12-04,否,silent blue|水晶迪克|sb|↓↑|乙醇姬|色篮|静蓝|蓝绿|四块钱|默蓝|静谧的蓝|水神9
754,STD,larva,STD,MASTER,14+,14.8,202,MiLK+ (雪),2018-07-24,否,larva|蓝色尖锐湿疣|雪降雨|龟头结冰|岩浆|冰|拉完|神之震惊|辣蛙|拉瓦|幼虫|pupa2|源石虫|虫|＝⚡️★|萨菲|青泥石|区|蛆|说的道理
716,STD,Credits,STD,MASTER,14+,14.6,179,MiLK (白),2018-03-06,否,credits|信用卡|点数|可用点数|信誉|corporation|提供|🐘|信用|cooperation|学分|王一鑫|安眠曲|18118181181111|天气预报|制作组|末影珍珠
710,STD,Excalibur ～Revived resolution～,STD,MASTER,14+,14.8,200,MiLK (白),2018-02-20,否,excalibur ～revived resolution～|生煎2|圣剑2|圣剑二|福瑞2|生煎二|ex咖喱棒|福瑞跑步2
615,STD,Our Wrenally,STD,MASTER,14+,14.8,105,MURASAKi (紫),2017-01-24,否,our wrenally|魔法阿嬷|魔法阿妈|魔法阿嫲|白夏祭|魔法夏祭|里夏祭|ow|ena|别急加强版|别急9|夏祭|夏祭2|夏祭re:master|火女孩|临兵斗者皆阵列在前|守望先锋|高等数学|高数|阿嬷|ysk对母亲的崇高敬意
600,STD,Prophesy One,STD,MASTER,14+,14.6,120,PiNK+ (櫻),2016-11-17,否,prophesy one|预言1|预言一|芋圆|p1|小路|预言第一名
599,STD,AMAZING MIGHTYYYY!!!!,STD,MASTER,14+,14.7,185,PiNK+ (櫻),2016-11-17,否,amazing mightyyyy!!!!|！！！！|不可思议的大概概概概|恋爱裁判3|四个感叹号|惊异全能|am|恋爱裁判2|惊人强大|这么强？|惊人的强大|太神奇了，太强大了！|樱羽艾玛
565,STD,Glorious Crown,STD,MASTER,14+,14.8,225,PiNK (桃),2016-05-26,否,glorious crown|王冠|番茄炒蛋|👑|👑 🔴|fd2|gc|团子|荣耀的皇冠|cat^o^|皇冠|史莱姆皇帝|辉煌之冠
514,STD,ガラテアの螺旋,STD,MASTER,14+,14.6,200,ORANGE+ (暁),2015-06-25,否,ガラテアの螺旋|白洛轩|伽拉泰亚的螺旋|螺旋|ガラテアのにゃんこ|🌀|galatiaの螺旋|伽拉
483,STD,VERTeX,STD,MASTER,14+,14.7,237,ORANGE (橙),2014-11-26,否,vertex|🌊|芙卡洛斯|水神一|羽落心弦|水神1|芙宁娜|水神
297,DX/STD,ジングルベル,DX,MASTER,14+,14.6,100,FESTiVAL (祭),2015-03-19,否,ジングルベル|铃儿响叮当|别急15|标圣诞|圣诞歌|jingle bell|鸡公煲|圣诞树|🎄|圣诞|标准圣诞|dx圣诞|dx圣诞歌|dx鸡公煲
1803,DX,クロノイデア,DX,MASTER,14,14.3,190,CiRCLE+,2026-05-08,是,
1796,DX,Myosotis,DX,MASTER,14,14.5,160,CiRCLE+,2026-04-17,否,
1794,DX,ZEUS,DX,MASTER,14,14.3,180,CiRCLE+,2026-04-03,否,
1778,DX,AiAe,DX,MASTER,14,14.4,180,CiRCLE+,2026-03-19,否,
1776,DX,超ナイト・オブ・ナイツ,DX,MASTER,14,14,193,CiRCLE+,2026-03-19,否,
1766,DX,Galaxy Blaster,DX,MASTER,14,14.3,208,CiRCLE+,2026-03-19,是,
1764,DX,ソテリア,DX,MASTER,14,14.1,160,CiRCLE+,2026-03-19,是,
1760,DX,Daredevil Glaive,DX,MASTER,14,14.2,185,CiRCLE (丸),2026-03-05,否,
1733,DX,ヤミナベ!!!!,DX,MASTER,14,14.5,264,CiRCLE (丸),2025-12-24,否,
1732,DX,JINGLE DEATH,DX,MASTER,14,14.1,222,CiRCLE (丸),2025-12-24,否,
1730,DX,華天月兎,DX,MASTER,14,14.4,184,CiRCLE (丸),2025-12-12,是,
1729,DX,鬼女紅妖,DX,MASTER,14,14.1,165,CiRCLE (丸),2025-12-12,是,
1705,DX,るろうらんる,DX,MASTER,14,14.3,156,CiRCLE (丸),2025-10-03,否,
1704,DX,おべんきょうたいむ,DX,MASTER,14,14.1,165,CiRCLE (丸),2025-10-03,否,
1700,DX,Hurtling Boys,DX,MASTER,14,14.5,195,CiRCLE (丸),2025-09-26,否,hurtling boys|神之右手|大手|hb|猛冲男孩|超级大手
1692,DX,ニルヴの心臓,DX,MASTER,14,14.3,256,CiRCLE (丸),2025-09-18,否,
1691,DX,Eureka,DX,MASTER,14,14.1,150,CiRCLE (丸),2025-09-18,否,
1680,DX,Dazzle hop,DX,MASTER,14,14.2,220,CiRCLE (丸),2025-09-18,否,
1678,DX,殿ッ！？ご乱心！？,DX,MASTER,14,14.2,200,CiRCLE (丸),2025-09-18,是,
1674,DX,Retribution ～ Cycle of Redemption ～,DX,MASTER,14,14.4,112,PRiSM+ (彩),2025-09-05,否,
1660,DX,∀,DX,MASTER,14,14.3,245,PRiSM+ (彩),2025-08-01,否,
1656,DX,Ref:rain (for 7th Heaven),DX,MASTER,14,14,188,PRiSM+ (彩),2025-07-13,否,
1654,STD,AFTER PANDORA,STD,MASTER,14,14.2,85,PRiSM+ (彩),2025-07-13,否,
1649,DX,砂の函,DX,MASTER,14,14,180,PRiSM+ (彩),2025-07-11,否,
1648,DX,IMBRUED:FLUX,DX,MASTER,14,14.1,176,PRiSM+ (彩),2025-07-11,否,
1644,DX,JIGOKU STATION CENTRAL GATE,DX,MASTER,14,14,160,PRiSM+ (彩),2025-06-27,否,
1633,DX,MYTH Re：LEASE,DX,MASTER,14,14.5,202,PRiSM+ (彩),2025-05-30,否,
1631,DX,Destined Marionette,DX,MASTER,14,14.3,186,PRiSM+ (彩),2025-05-21,否,
1620,DX,忙シー日,DX,MASTER,14,14.2,150,PRiSM+ (彩),2025-05-09,否,
1615,DX,DATAERR0R,DX,MASTER,14,14,180,PRiSM+ (彩),2025-04-11,否,
1614,DX,Overjoy ★ OVERDOSE!!,DX,MASTER,14,14.2,143,PRiSM+ (彩),2025-04-11,否,
1600,DX,Synthesis.,DX,MASTER,14,14.1,180,PRiSM+ (彩),2025-03-13,否,synthesis.
1588,DX,Zitronectar,DX,MASTER,14,14.4,222,PRiSM+ (彩),2025-03-13,否,zitronectar
1574,DX,R'N'R Monsta,DX,MASTER,14,14.1,220,PRiSM (鏡),2025-02-07,否,r'n'r monsta|rnr
1566,DX,Abstruse Dilemma,DX,MASTER,14,14.5,216,PRiSM (鏡),2025-01-10,否,abstruse dilemma|ad|鸟屎2|摩耶|2112112
1560,DX,有明/Ariake,DX,MASTER,14,14.4,190,PRiSM (鏡),2024-12-20,否,有明/ariake|有明|冇明|紫门
1549,DX,HYP3RTRIBE,DX,MASTER,14,14.1,190,PRiSM (鏡),2024-12-06,否,hyp3rtribe|hypertribe
1536,DX,Deicide,DX,MASTER,14,14.4,163,PRiSM (鏡),2024-10-25,否,deicide|弑神者|弑神|decide
1520,DX,Chronomia,DX,MASTER,14,14.2,227,PRiSM (鏡),2024-09-12,否,chronomia|天文钟
1510,DX,美夜月鏡,DX,MASTER,14,14.1,164,PRiSM (鏡),2024-09-12,否,美夜月鏡|美夜月镜
1509,DX,Elemental Ethnic,DX,MASTER,14,14.2,163,PRiSM (鏡),2024-09-12,否,elemental ethnic|狗叫机关枪|机枪肌肉男|机关枪
1508,DX,184億回のマルチトニック,DX,MASTER,14,14,184,PRiSM (鏡),2024-09-12,否,184億回のマルチトニック|184亿|184|184亿回|184亿次的multi-tonic|184亿次的振奋人心|18400000000
1505,DX,Ai C,DX,MASTER,14,14,191,BUDDiES+ (宴),2024-08-30,否,ai c|aic|艾草|挨草|爱丽丝的摇篮
1496,DX,RondeauX of RagnaroQ,DX,MASTER,14,14.5,185,BUDDiES+ (宴),2024-08-02,否,rondeaux of ragnaroq|灵珠大战魔丸|ror|诸神黄昏的回旋曲|灵珠魔丸|rxrq|诸神黄昏交响曲
1489,DX,QUATTUORUX,DX,MASTER,14,14.5,220,BUDDiES+ (宴),2024-07-11,否,quattuorux|300绝赞|绝赞300|三百绝赞|300颗够吗|aaa绝赞批发|lk2|夸戳|夸脱|猫猫一打二|quat|quattro|完
1487,DX,ミラクルポップ☆アドベンチャー!!!!!,DX,MASTER,14,14.2,180,BUDDiES+ (宴),2024-07-05,否,ミラクルポップ☆アドベンチャー!!!!!|大奈子芙宁娜|大奶子芙宁娜|炫彩芙宁娜|芙宁娜高超|巨如芙宁娜|芙宁娜高潮|巨乳芙宁娜|大奶芙宁娜|彩色芙宁娜|miracle pop adventure|芙宁娜
1483,DX,DEVOTION,DX,MASTER,14,14.3,167,BUDDiES+ (宴),2024-06-21,否,devotion|虔诚|热爱|献身|挚爱
1477,DX,INFiNiTE ENERZY -Overdoze-,DX,MASTER,14,14,180,BUDDiES+ (宴),2024-06-07,否,infinite enerzy -overdoze-|ieo|坟头自拍|坟前|坟头拍照|坟前自拍|无限力量依赖|🧺子|无限能量|am2
1466,DX,Bloody Trail,DX,MASTER,14,14.5,195,BUDDiES+ (宴),2024-05-10,否,bloody trail|血迹|贝利亚|血痕|血腥之路|血路
1464,DX,勦滅,DX,MASTER,14,14.2,150,BUDDiES+ (宴),2024-05-10,否,勦滅|剿灭|动减|勤减|明日方舟|苍蝇|1800合成玉|trg溜大冰|原型黑姬
1458,DX,ouroboros -twin stroke of the end-,DX,MASTER,14,14.5,188,BUDDiES+ (宴),2024-04-12,否,ouroboros -twin stroke of the end-|衔尾蛇|我们的菠萝
1431,DX,MarbleBlue.,DX,MASTER,14,14.5,198,BUDDiES+ (宴),2024-03-21,否,marbleblue.|妈宝蓝
1429,DX,QuiQ,DX,MASTER,14,14.4,120,BUDDiES+ (宴),2024-03-21,否,"quiq|qq|哈基q|赫拉3|快克|上早八|堵门起晚了|牛奶猫迟到|早八|早八迟到|白猫良弹|睡觉|rush q|牛奶猫睡觉|早八要迟到了|qwq|出勤迟到|咪露库睡大觉|7-2b,7/3b|牛奶快跑|猫娘睡觉|就睡五分钟|说好和朋友去堵门的你|hera3|登录二维码刷地铁|你跑不过我你信不信"
1419,DX,WE'RE BACK!!,DX,MASTER,14,14,185,BUDDiES (双),2024-02-29,否,we're back!!|我们回来了|我们是背|weareback
1418,DX,インパアフェクシオン・ホワイトガアル,DX,MASTER,14,14.2,207,BUDDiES (双),2024-02-29,否,インパアフェクシオン・ホワイトガアル|文学少女|不完美少女|月乃|不完美白色女孩|霸道总裁爱上我|不完美的白色少女|不完美的白之少女|不完美的白色女孩|白女|冴川芽依|女孩看书
1412,DX/STD,渦状銀河のシンフォニエッタ,STD,MASTER,14,14.3,238,BUDDiES (双),2020-08-07,否,渦状銀河のシンフォニエッタ|标抽水马桶|标银河|标马桶|标涡状银河|涡状银河交响曲|涡状马桶|涡状银河|抽水马桶|银河|涡状台风|冲水马桶|马桶|🚽|涡状伊岛|涡状银河的小交响曲|漩涡马桶
