No.,分类,曲名,创作者,谱面,BPM,版本,别名
1838,WORLD'S END,I Wanna,静香(CV.長谷川育美)「ワールドダイスター 夢のステラリウム」,WE 【招】☆☆☆☆☆,,X-VERSE-X,我想|iw
1837,ORIGINAL,tHE uNcontRollaBle ciNdeRella,Felysrator (feat. Lamanya),STD 4 | STD 8+ | STD 13 | STD 14+,157,X-VERSE-X,
1836,ORIGINAL,〚回帰〛 ～Scherzo ~フォルトゥーナの悪戯~,MIssionary & DCWH,STD 4 | STD 8+ | STD 13+ | STD 15,132,X-VERSE-X,
1835,ORIGINAL,MOMOCO68000,AKIRA YAMAOKA,STD 3 | STD 7+ | STD 12 | STD 14,180,X-VERSE-X,
1834,ORIGINAL,☆をつなぐシュトラール,ああああ,STD 4 | STD 7 | STD 11+ | STD 14,224,X-VERSE-X,
1833,ORIGINAL,Road to Aventura,s-don,STD 3 | STD 6 | STD 12+ | STD 14+,155,X-VERSE-X,
1832,ORIGINAL,ジナ,niki feat.DELUTAYA,STD 3 | STD 6 | STD 11 | STD 13+,182,X-VERSE-X,
1831,ORIGINAL,魔法に照らされたアンコール,MIMI feat.wawa,STD 2 | STD 5 | STD 10+ | STD 13,120,X-VERSE-X,
1830,イロドリミドリ,当たり前田の小野美苗,小野 美苗(CV:伊藤 美来),STD 4 | STD 7 | STD 10+ | STD 14+,168,X-VERSE-X,
1829,ゲキマイ,BIRTH,llliiillliiilll,STD 3 | STD 7 | STD 13 | STD 14+,176,X-VERSE-X,
1828,ゲキマイ,Starlight★Limited,カタオカツグミ,STD 3 | STD 7 | STD 12 | STD 14,116,X-VERSE-X,
1827,ゲキマイ,WakeUP MakeUP FEVER!,曲：アオワイファイ／歌：オンゲキシューターズ,STD 2 | STD 5 | STD 10 | STD 12+,126,X-VERSE-X,
1826,VARIETY,AiAe,DJ'TEKINA//SOMETHING a.k.a ゆよゆっぺ,STD 3 | STD 6 | STD 13 | STD 15,180,X-VERSE-X,
1825,VARIETY,Angelic Layer,SHIKI,STD 2 | STD 6 | STD 10+ | STD 14+,146,X-VERSE-X,
1824,VARIETY,MORNINGLOOM,saaa,STD 3 | STD 6 | STD 11 | STD 14+,204,X-VERSE-X,
1823,東方Project,Ultimate taste,ぱらどっと,STD 4 | STD 7+ | STD 12+ | STD 14+,200,X-VERSE-X,
1822,niconico,キャンディークッキーチョコレート,はろける,STD 3 | STD 6 | STD 9 | STD 13 | STD 14+,173,X-VERSE-X,
1821,niconico,化けの花,なきそ,STD 3 | STD 6 | STD 10+ | STD 13+ | STD 14+,180,X-VERSE-X,
1820,niconico,モニタリング,DECO*27,STD 3 | STD 5 | STD 10 | STD 13,132,X-VERSE-X,
1819,POPS & ANIME,一旦ステイ TONIGHT,不破湊,STD 3 | STD 6 | STD 10 | STD 13+,166,X-VERSE-X,
1818,POPS & ANIME,怪獣,サカナクション,STD 3 | STD 5 | STD 9 | STD 12+,180,X-VERSE-X,
1817,POPS & ANIME,KiLLKiSS,Ave Mujica,STD 3 | STD 6 | STD 10+ | STD 14,200,X-VERSE-X,
1816,POPS & ANIME,Ave Mujica,Ave Mujica,STD 3 | STD 6 | STD 9+ | STD 14,222,X-VERSE-X,
1815,POPS & ANIME,BOW AND ARROW （アニメ・オープニングver.）,米津玄師,STD 3 | STD 5 | STD 9+ | STD 13 | STD 14,180,X-VERSE-X,
1814,ORIGINAL,創 -汝ら新世界へ歩む者なり-,BlackY VS Yooh VS siromaru VS xi VS モリモリあつし,STD 7 | STD 12 | STD 14+ | STD 15+,219,X-VERSE,
1813,ORIGINAL,輪廻玲々,suzu,STD 6 | STD 11 | STD 14 | STD 15,188,X-VERSE,
1812,ORIGINAL,OUTRAGE,USAO vs DJ Myosuke,STD 6 | STD 10 | STD 14 | STD 15,215,X-VERSE,
1811,ORIGINAL,Everything Will Be One,void (Mournfinale),STD 6 | STD 10 | STD 13+ | STD 15,170,X-VERSE,
1810,ORIGINAL,Tru'nembra,Team Grimoire & 穴山大輔,STD 5 | STD 10 | STD 14 | STD 15+,195,X-VERSE,
1809,ORIGINAL,神鳴,Rígr feat. 光吉猛修,STD 6 | STD 10+ | STD 14+ | STD 15+,205,X-VERSE,
1808,VARIETY,ビッグブリッヂの死闘 -シアトリズムFFAC Arrange- from FFV,SQUARE ENIX,STD 4 | STD 8 | STD 13+ | STD 15,211,X-VERSE-X,
1807,VARIETY,Kaleidoscope,Lycoris in the parterre,STD 3 | STD 7 | STD 13+ | STD 15,150,X-VERSE,
1806,ORIGINAL,DEvourER,ZxNX + Redsign,STD 4 | STD 7 | STD 12+ | STD 14+,180,X-VERSE,
1805,ORIGINAL,Deep Blue,technoplanet feat. Tamako Kinoshita,STD 6 | STD 11 | STD 14+ | STD 15+,236,X-VERSE,
1804,ORIGINAL,hyperreality,tn-shi,STD 5 | STD 8 | STD 13+ | STD 15,210,X-VERSE,
1803,WORLD'S END,Reach For The Stars,ソニック カラーズ,WE 【速】☆☆,,X-VERSE,追星
1802,WORLD'S END,GIGA BLAST,Blacklolita,WE 【蔵】☆☆☆☆,,X-VERSE,强抬切|大裤衩|裤衩|gigablast|李咏|gg爆|特大爆|假几把|巨爆
1801,WORLD'S END,可愛くてごめん,HoneyWorks feat. ちゅーたん(CV:早見沙織),WE 【狂】☆☆☆,,X-VERSE,这么可爱真是抱歉|果咩
1800,niconico,電光刹歌,かめりあ,STD 3 | STD 6 | STD 11+ | STD 14,207,X-VERSE,
1799,niconico,トレジャーガーデン,Ponchi♪ feat.初音ミク,STD 3 | STD 6 | STD 10+ | STD 14,268,X-VERSE,
1798,niconico,ジェットブラック,雄之助,STD 3 | STD 5 | STD 10 | STD 13,170,X-VERSE,
1797,niconico,ウィーアーピコピコハンマーズ!!!!,cosMo＠暴走P,STD 3 | STD 7 | STD 11+ | STD 14,202,X-VERSE,
1796,niconico,最愛人生ランナー,かいりきベア,STD 3 | STD 6 | STD 10 | STD 13+,180,X-VERSE,
1795,ゲキマイ,しとしとと,t+pazolite,STD 4 | STD 9+ | STD 13 | STD 14+,215,X-VERSE,
1794,イロドリミドリ,Hardsync,桔梗 小夜曲(CV:原田 彩楓),STD 4 | STD 7 | STD 10+ | STD 14+,200,X-VERSE,
1793,ORIGINAL,PhenomenoN,Laur feat.Tia,STD 3 | STD 6 | STD 11 | STD 14+,174,X-VERSE,
1792,ORIGINAL,In the Straying Story,polysha,STD 3 | STD 7 | STD 13 | STD 14+,192,X-VERSE,
1791,ORIGINAL,Warp Speed,Nhato,STD 3 | STD 7 | STD 11+ | STD 14,174,X-VERSE,
1790,ゲキマイ,渦状銀河のシンフォニエッタ,山本真央樹,STD 4 | STD 7 | STD 12+ | STD 15,238,X-VERSE,
1789,niconico,Worlders,じん / バーチャル・シンガー、Leo/need、MORE MORE JUMP！、Vivid BAD SQUAD、ワンダーランズ×ショウタイム、25時、ナイトコードで。「劇場版プロジェクトセカイ　壊れたセカイと歌えないミク」,STD 2 | STD 5 | STD 9 | STD 12+,138,X-VERSE,
1788,niconico,はじまりの未来,40mP × sasakure.UK / 初音ミク「劇場版プロジェクトセカイ　壊れたセカイと歌えないミク」,STD 2 | STD 5 | STD 9 | STD 12+,156,X-VERSE,
1787,東方Project,Galaxy Collapse,黒皇帝,STD 4 | STD 9+ | STD 13+ | STD 15,135,X-VERSE,
1786,東方Project,Necromantic,暁Records,STD 3 | STD 5 | STD 9+ | STD 13,144,X-VERSE,
1785,東方Project,Idoratrize World,A-One,STD 3 | STD 6 | STD 10 | STD 14,170,X-VERSE,
1784,イロドリミドリ,ソウルのピース,葛城 華(CV:丸岡 和佳奈),STD 3 | STD 5 | STD 10+ | STD 13+,146,X-VERSE,
1783,ORIGINAL,恋伯色,瀬名水紀 feat.六宮,STD 4 | STD 6 | STD 9+ | STD 13+,186,X-VERSE,
1782,ORIGINAL,システム,大漠波新 feat.ウォルピスカーター,STD 3 | STD 5 | STD 11 | STD 13+,141,X-VERSE,
1781,ORIGINAL,ナラク・オン・エア,吉田夜世 feat.棗いつき,STD 4 | STD 6 | STD 12 | STD 14,220,X-VERSE,
1780,WORLD'S END,MEGALOVANIA,Toby Fox「UNDERTALE」,WE 【避】☆☆☆☆,,X-VERSE,传说之下|狂妄之人
1779,WORLD'S END,ナイト・オブ・ナイツ,ビートまりお,WE 【時】☆☆☆,,X-VERSE,夜骑
1778,WORLD'S END,M.L.V.G,テトラルキア「Re:ステージ！プリズムステップ」,WE 【跳】☆☆☆☆,,X-VERSE,mlvg
1777,VARIETY,夢と希望,Toby Fox「UNDERTALE」,STD 3 | STD 7 | STD 10 | STD 13+,171,X-VERSE,
1776,niconico,ずんだシェイキング,なみぐる,STD 3 | STD 6 | STD 11 | STD 13+,140,X-VERSE,
1775,VARIETY,スパイダーダンス,Toby Fox「UNDERTALE」,STD 2 | STD 6 | STD 10+ | STD 14+,115,X-VERSE,
1774,niconico,カルチャ,ツミキ,STD 3 | STD 6 | STD 10 | STD 14,172,X-VERSE,
1773,niconico,スーパーヒーロー,Guiano,STD 2 | STD 5 | STD 8 | STD 12+,132,X-VERSE,
1772,niconico,オブソミート,サツキ,STD 3 | STD 6 | STD 9+ | STD 13+,158,X-VERSE,
1771,イロドリミドリ,Burn!!!,藤堂 陽南袴(CV:八島 さらら),STD 3 | STD 6 | STD 11+ | STD 14,150,X-VERSE,
1770,ORIGINAL,Challenger!!,シャティ,STD 3 | STD 7 | STD 10 | STD 14,130,X-VERSE,
1769,ORIGINAL,Steamed on the Beat,電気式華憐音楽集団,STD 3 | STD 7 | STD 11+ | STD 14,164,X-VERSE,
1768,ORIGINAL,内臓♡マニピ,Kijibato feat. をとは,STD 4 | STD 8 | STD 10+ | STD 14+,120,X-VERSE,
1767,POPS & ANIME,きゅびびびびずむ,超てんちゃん,STD 5 | STD 9 | STD 12+ | STD 14+,185,X-VERSE,
1766,POPS & ANIME,きゅびずむ,超てんちゃん,STD 4 | STD 6 | STD 9+ | STD 12+,185,X-VERSE,
1765,POPS & ANIME,幽霊船戦,宝鐘マリン（ホロライブ）,STD 3 | STD 6 | STD 10 | STD 14+,160,X-VERSE,
1764,POPS & ANIME,うい麦畑でつかまえて,しぐれうい,STD 3 | STD 5 | STD 9+ | STD 13+,168,X-VERSE,
1763,POPS & ANIME,1番輝く星,アーリャ（CV：上坂すみれ）「時々ボソッとロシア語でデレる隣のアーリャさん」,STD 3 | STD 6 | STD 9 | STD 12+,182,X-VERSE,
1762,ゲキマイ,アージェントシンメトリー,Sta feat.b,STD 3 | STD 6 | STD 10 | STD 14,172,X-VERSE,
1761,ORIGINAL,Star Saveler,ShiBa,STD 3 | STD 7 | STD 11 | STD 14,195,X-VERSE,
1760,ORIGINAL,あの日、あの部屋で、あったこと,wotaku feat. SHIKI,STD 4 | STD 8+ | STD 13 | STD 15,328,X-VERSE,
1759,ORIGINAL,ノーライ,鬱P feat.鯖,STD 3 | STD 7 | STD 11+ | STD 14+,190,X-VERSE,
1758,niconico,え？あぁ、そう。- 10th Anniversary Edition -,蝶々P,STD 3 | STD 6 | STD 10 | STD 14,192,X-VERSE,
1757,niconico,少女A,椎名もた,STD 2 | STD 6 | STD 10 | STD 14,260,X-VERSE,
1756,niconico,私の歯医者さん,ゆこぴ,STD 3 | STD 6 | STD 8 | STD 13,147,X-VERSE,
1755,niconico,ブタサンダー,ゆこぴ,STD 2 | STD 5 | STD 8+ | STD 13,145,X-VERSE,
1754,ゲキマイ,Individual on parade!,曲：渡部チェル／歌：珠洲島 有栖(CV：長縄 まりあ)、皇城 セツナ(CV：八巻 アンナ)、柏木 咲姫(CV：石見 舞菜香)、日向 千夏(CV：岡咲 美保)、井之原 小星(CV：ももの はるな),STD 3 | STD 6 | STD 9 | STD 12+,172,X-VERSE,
1753,WORLD'S END,sølips,rintaro soma,WE 【蔵】☆☆☆☆☆,,X-VERSE,嗦|solips|蓝的盘|一百块
1752,WORLD'S END,Kattobi KEIKYU Rider,Sampling Masters MEGA,WE 【翔】☆☆☆,,X-VERSE,叮叮电车|叮叮|电车|叮叮车
1751,WORLD'S END,Invitation,れるりり feat.ろん,WE 【割】☆☆☆,,X-VERSE,邀请|邀请函
1750,POPS & ANIME,ぎゅむ！,ぷにる（CV：篠原 侑）「ぷにるはかわいいスライム」,STD 3 | STD 5 | STD 9+ | STD 13,168,X-VERSE,
1749,イロドリミドリ,単位がない！,五十嵐 撫子(CV:花井 美春),STD 3 | STD 5 | STD 10 | STD 13+,190,X-VERSE,
1748,ORIGINAL,Flap&Clap,棗いつき,STD 3 | STD 5 | STD 10+ | STD 14,190,X-VERSE,
1747,ORIGINAL,エモーション・キャプチャー,藍月なくる,STD 3 | STD 5 | STD 9+ | STD 13,185,X-VERSE,
1746,ORIGINAL,Wing:No.6223,NAMV & Game-i,STD 3 | STD 7 | STD 11 | STD 14,190,X-VERSE,
1745,ORIGINAL,luminoid love PART2,DÉ DÉ MOUSE,STD 3 | STD 5 | STD 10+ | STD 14,155,X-VERSE,
1744,ORIGINAL,並行天涯,BilliumMoto,STD 3 | STD 6 | STD 12+ | STD 15,333,X-VERSE,
1743,ORIGINAL,TOXIC,Zekk,STD 2 | STD 6 | STD 11 | STD 14,183,X-VERSE,
1742,ORIGINAL,χρόνος,Street,STD 3 | STD 6 | STD 12+ | STD 14+,190,X-VERSE,
1741,ゲキマイ,Daydreama,HiTECH NINJA,STD 3 | STD 6 | STD 11+ | STD 14+,153,X-VERSE,
1740,ゲキマイ,Energizing Flame,Artifact vs. Dualcast,STD 4 | STD 7 | STD 12+ | STD 14,201,X-VERSE,
1739,VARIETY,ニルヴの心臓,TJ.hangneil + Atomic Sphere feat.Annabel,STD 4 | STD 7 | STD 13 | STD 15,256,X-VERSE,
1738,東方Project,最終鬼畜妹フランドール・S (Chroma Remix),ビートまりお × 黒魔,STD 3 | STD 7 | STD 12+ | STD 15,200,X-VERSE,
1737,niconico,モ　ミ　ア　ゲ　ヲ　シ　ャ　カ　ア　ゲ　ヲ,ぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬ,STD 2 | STD 6 | STD 10 | STD 13,160,X-VERSE,
1736,niconico,テトリス,柊マグネタイト,STD 3 | STD 5 | STD 10 | STD 14,170,X-VERSE,
1735,niconico,ラヴィ,すりぃ,STD 3 | STD 6 | STD 9+ | STD 13 | STD 14+,183,X-VERSE,
1734,POPS & ANIME,はいよろこんで,こっちのけんと,STD 2 | STD 6 | STD 9 | STD 12+,147,X-VERSE,
1733,POPS & ANIME,モエチャッカファイア,弌誠「ゲーム『ゼンレスゾーンゼロ』エレン・ジョー 同人イメージソング」,STD 3 | STD 6 | STD 10 | STD 12+ | STD 14,163,X-VERSE,
1732,POPS & ANIME,TAIDADA,ずっと真夜中でいいのに。,STD 2 | STD 5 | STD 9 | STD 13,144,X-VERSE,
1731,VARIETY,彩りキャンバス,SUGAR RUSH「ブルーアーカイブ -Blue Archive-」,STD 3 | STD 5 | STD 9+ | STD 13+,180,X-VERSE,
1730,VARIETY,Unwelcome School,Mitsukiyo「ブルーアーカイブ -Blue Archive-」,STD 3 | STD 6 | STD 10+ | STD 13+ | STD 15,180,X-VERSE,
1729,VARIETY,RE Aoharu,Nor「ブルーアーカイブ -Blue Archive-」,STD 2 | STD 6 | STD 10 | STD 13,180,X-VERSE,
1728,ゲキマイ,Galaxy Blaster,ああああ,STD 5 | STD 8 | STD 12 | STD 14+,208,VERSE,
1727,ゲキマイ,Swift Swing,Laur,STD 3 | STD 6 | STD 11 | STD 14+,150,VERSE,
1726,ゲキマイ,デスパレイト,owl＊tree,STD 3 | STD 6 | STD 10 | STD 13+,145,VERSE,
1725,ゲキマイ,7thSense,削除,STD 4 | STD 7 | STD 12 | STD 14+,150,VERSE,
1724,ゲキマイ,BOUNCE & DANCE,IOSYS TRAX,STD 3 | STD 7 | STD 11 | STD 14+,135,VERSE,
1723,VARIETY,A c i - L,-45,STD 3 | STD 6 | STD 13 | STD 15,162,VERSE,acil|aci
1722,POPS & ANIME,Running to the straight ver1.01,Shade feat.仲村芽衣子,STD 3 | STD 6 | STD 10 | STD 13,129,VERSE,
1721,ORIGINAL,Crossmythos Rhapsodia,Acotto vs Potwi,STD 6 | STD 9+ | STD 14+ | STD 15+,198,VERSE,穿魂|十字神话狂想曲|十字|狂想曲|暗黑美竹兰
1720,VARIETY,Southern Cross,403,STD 3 | STD 7 | STD 11+ | STD 14+,171,VERSE,南十字
1719,POPS & ANIME,you (Vocal),作詞、Vocal：癒月 作編曲：dai,STD 1 | STD 5 | STD 8 | STD 13,87,VERSE,
1718,POPS & ANIME,Paradoxes,富田美憂「デート・ア・ライブ」,STD 1 | STD 4 | STD 8+ | STD 12,166,VERSE,
